#cluster	accession	definition	organism	taxid	length
PHA3605	YP_002213837	control protein E4orf4	Human adenovirus B	108098	122
PHA3604	YP_002822212	pVII	Murine adenovirus 3	573199	209
PHA3603	NP_044195	hypothetical protein	Canine adenovirus A	10537	421
PHA3602	NP_043890	hypothetical protein	Fowl adenovirus A	190061	245
PHA3601	NP_044191	hypothetical protein	Canine adenovirus A	10537	461
PHA3600	YP_067905	E1B 55 kDa protein	Simian adenovirus 3	38420	508
PHA3599	YP_213974	pVI	Simian adenovirus 1	310540	279
PHA3598	NP_044188	hypothetical protein	Canine adenovirus A	10537	502
PHA3597	NP_043889	hexon assembly-associated protein	Fowl adenovirus A	190061	984
PHA3596	NP_047394	endoprotease	Turkey adenovirus A	298333	214
PHA3595	NP_040525	hexon	Human adenovirus C	129951	968
PHA3594	NP_040521	penton base	Human adenovirus C	129951	571
PHA3593	NP_044190	hypothetical protein	Canine adenovirus A	10537	723
PHA3592	NP_044189	hypothetical protein	Canine adenovirus A	10537	977
PHA3591	YP_009204	pIIIa	Porcine adenovirus A	130369	622
PHA3590	NP_048599	Potassium ioin channel protein (Kcv)	Paramecium bursaria Chlorella virus 1	10506	94
PHA3589	YP_003494930	hypothetical protein	Ostreococcus tauri virus 1	642926	341
PHA3588	YP_001426632	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	521
PHA3587	YP_001497467	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	145
PHA3579	YP_001648163	hypothetical protein	Ostreococcus virus OsV5	489089	488
PHA3578	NP_048820	Rnase III	Paramecium bursaria Chlorella virus 1	10506	275
PHA3577	YP_003494899	hypothetical protein	Ostreococcus tauri virus 1	642926	494
PHA3576	YP_001497346	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	290
PHA3575	YP_001426761	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	438
PHA3574	NP_048667	hypothetical protein	Paramecium bursaria Chlorella virus 1	10506	52
PHA3573	YP_001425850	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	287
PHA3572	YP_294217	putative nucleic acid independent nucleoside triphosphatase	Emiliania huxleyi virus 86	181082	675
PHA3570	NP_078617	DNA methyltransferase	Lymphocystis disease virus 1	36363	228
PHA3569	YP_164179	RNase III	Singapore grouper iridovirus	262968	375
PHA3568	YP_654651	hypothetical protein	Invertebrate iridescent virus 3	345201	395
PHA3567	YP_003802	NTPase/helicase	Ambystoma tigrinum virus	265294	330
PHA3566	YP_003784	hypothetical protein	Ambystoma tigrinum virus	265294	395
PHA3565	YP_164245	phosphotransferase	Singapore grouper iridovirus	262968	508
PHA3564	YP_164165	thiol oxidoreductase	Singapore grouper iridovirus	262968	152
PHA3563	YP_164163	hypothetical protein	Singapore grouper iridovirus	262968	272
PHA3562	YP_164192	DNA repair protein RAD2	Singapore grouper iridovirus	262968	382
PHA3561	YP_003852	D5 family NTPase	Ambystoma tigrinum virus	265294	975
PHA3560	YP_003815	DNA dependent RNA polymerase II	Ambystoma tigrinum virus	265294	1221
PHA3559	NP_149800	337L	Invertebrate iridescent virus 6	176652	412
PHA3558	NP_612241	putative DNA polymerase	Infectious spleen and kidney necrosis virus	180170	948
PHA3557	YP_803266	hypothetical protein	Trichoplusia ni ascovirus 2c	328615	977
PHA3556	YP_001110985	putative S1/P1 nuclease	Heliothis virescens ascovirus 3e	260797	277
PHA3555	YP_762419	90 kDa Serine/threonine protein kinase	Spodoptera frugiperda ascovirus 1a	113370	817
PHA3554	YP_001111016	caspase-like protein	Heliothis virescens ascovirus 3e	260797	314
PHA3553	YP_803361	RNA polymerase subunit	Trichoplusia ni ascovirus 2c	328615	1160
PHA3552	YP_001110907	thymidine kinase	Heliothis virescens ascovirus 3e	260797	217
PHA3551	YP_803249	hypothetical protein	Trichoplusia ni ascovirus 2c	328615	346
PHA3550	YP_803232	hypothetical protein	Trichoplusia ni ascovirus 2c	328615	282
PHA3549	YP_001110875	iap-like protein	Heliothis virescens ascovirus 3e	260797	113
PHA3548	YP_001110871	esterase-lipase	Heliothis virescens ascovirus 3e	260797	655
PHA3547	YP_762364	SNF2 DEAD-like helicase 110.8 kDa	Spodoptera frugiperda ascovirus 1a	113370	978
PHA3546	YP_762363	98.4 kDA DNA-directed RNA polymerase	Spodoptera frugiperda ascovirus 1a	113370	885
PHA3545	YP_762356	125.8 kDa Delta DNA Polymerase	Spodoptera frugiperda ascovirus 1a	113370	1104
PHA3544	NP_045016	E5	Common chimpanzee papillomavirus 1	66261	94
PHA3538	YP_003517760	DNA ligase	Lymantria xylina MNPV	745177	583
PHA3537	NP_872458	ORF_4	Adoxophyes orana granulovirus	170617	191
PHA3536	NP_059236	ORF88	Xestia c-nigrum granulovirus	51677	99
PHA3535	NP_054038	viral capsid associated protein	Autographa californica nucleopolyhedrovirus	46015	543
PHA3534	YP_001648992	hypothetical protein	Helicoverpa armigera granulovirus	489830	99
PHA3533	YP_002332719	hypothetical protein	Spodoptera litura nucleopolyhedrovirus II	566270	463
PHA3532	NP_872522	dbp	Adoxophyes orana granulovirus	170617	336
PHA3531	NP_037850	ORF90	Spodoptera exigua multiple nucleopolyhedrovirus	10454	133
PHA3530	YP_002854683	TLP-20	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	285
PHA3529	YP_529727	ORF-57	Agrotis segetum nucleopolyhedrovirus	31508	168
PHA3528	YP_002268074	agip44	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	87
PHA3527	NP_047753	dUTPase	Lymantria dispar multiple nucleopolyhedrovirus	10449	149
PHA3526	NP_689208	putative tyrosine/serine phosphatase	Mamestra configurata nucleopolyhedrovirus B	204440	179
PHA3525	YP_002332576	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	113
PHA3524	YP_529794	ORF-124	Agrotis segetum nucleopolyhedrovirus	31508	68
PHA3523	YP_529716	ORF-46	Agrotis segetum nucleopolyhedrovirus	31508	152
PHA3522	YP_249741	38.7 K protein	Chrysodeixis chalcites nucleopolyhedrovirus	320432	400
PHA3521	NP_203213	hypothetical protein	Epiphyas postvittana nucleopolyhedrovirus	70600	127
PHA3520	YP_002268188	agip158	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	93
PHA3519	YP_758449	ORF152	Leucania separata nucleopolyhedrovirus	1307956	395
PHA3518	YP_002332737	FGF	Spodoptera litura nucleopolyhedrovirus II	566270	419
PHA3517	NP_054071	global transactivator-like protein	Autographa californica nucleopolyhedrovirus	46015	506
PHA3516	NP_054073	AcOrf-44 peptide	Autographa californica nucleopolyhedrovirus	46015	131
PHA3515	YP_002268150	agip120	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	93
PHA3514	YP_002268123	CG30	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	581
PHA3513	YP_249702	ORF-98 peptide	Chrysodeixis chalcites nucleopolyhedrovirus	320432	61
PHA3512	NP_059198	ORF50	Xestia c-nigrum granulovirus	51677	272
PHA3511	NP_932676	hypothetical protein	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	88
PHA3510	YP_002884309	Bm67-like protein	Bombyx mandarina nucleopolyhedrovirus	640862	234
PHA3509	YP_003422357	polyhedral envelope protein/P10 fusion	Pseudaletia unipuncta granulovirus	36355	387
PHA3508	YP_803398	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	88
PHA3507	NP_054033	AcOrf-4 peptide	Autographa californica nucleopolyhedrovirus	46015	151
PHA3506	YP_473205	ME53	Hyphantria cunea nucleopolyhedrovirus	28288	483
PHA3505	YP_001036305	gp16	Spodoptera frugiperda multiple nucleopolyhedrovirus	10455	97
PHA3504	YP_002884350	GP64/67	Bombyx mandarina nucleopolyhedrovirus	640862	530
PHA3502	NP_054154	AcOrf-124 peptide	Autographa californica nucleopolyhedrovirus	46015	247
PHA3501	YP_473222	ORF34 peptide	Hyphantria cunea nucleopolyhedrovirus	28288	92
PHA3500	YP_473228	ORF40 peptide	Hyphantria cunea nucleopolyhedrovirus	28288	439
PHA3499	YP_003517844	ORF104	Lymantria xylina MNPV	745177	97
PHA3498	NP_818725	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	99
PHA3497	NP_932683	hypothetical protein	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	99
PHA3496	YP_003429413	PrGVORF89	Pieris rapae granulovirus	252584	97
PHA3495	NP_872547	ORF_93	Adoxophyes orana granulovirus	170617	154
PHA3494	NP_047477	AcMNPV orf74	Bombyx mori nucleopolyhedrovirus	271108	268
PHA3493	YP_473272	Desmoplakin	Hyphantria cunea nucleopolyhedrovirus	28288	890
PHA3492	YP_002854641	chaB	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	95
PHA3491	YP_874236	ChaB1	Ectropis obliqua nucleopolyhedrovirus	59376	197
PHA3490	YP_002884285	Ac55-like protein	Bombyx mandarina nucleopolyhedrovirus	640862	77
PHA3489	NP_037871	ORF111	Spodoptera exigua multiple nucleopolyhedrovirus	10454	415
PHA3488	NP_848353	late expression factor 12	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	304
PHA3487	YP_003429373	LEF-11	Pieris rapae granulovirus	252584	98
PHA3486	NP_258301	PP31	Spodoptera litura nucleopolyhedrovirus	46242	322
PHA3485	YP_950751	Mv-ORF21 peptide	Maruca vitrata nucleopolyhedrovirus	1307954	483
PHA3484	YP_473328	ORF140 peptide	Hyphantria cunea nucleopolyhedrovirus	28288	334
PHA3483	NP_203261	IAP-4	Epiphyas postvittana nucleopolyhedrovirus	70600	141
PHA3482	YP_003422482	IAP-3	Pseudaletia unipuncta granulovirus	36355	290
PHA3481	NP_037870	ORF110 iap-3	Spodoptera exigua multiple nucleopolyhedrovirus	10454	313
PHA3480	NP_037848	ORF88 iap2	Spodoptera exigua multiple nucleopolyhedrovirus	10454	317
PHA3479	NP_047432	IAP1	Bombyx mori nucleopolyhedrovirus	271108	292
PHA3478	YP_002332582	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	301
PHA3477	YP_002300611	PKIP-1	Adoxophyes orana nucleopolyhedrovirus	542343	215
PHA3476	NP_047426	ARIF-1	Bombyx mori nucleopolyhedrovirus	271108	440
PHA3475	NP_203670	hypothetical protein	Helicoverpa armigera nucleopolyhedrovirus	51313	129
PHA3474	YP_950739	Mv-ORF9 peptide	Maruca vitrata nucleopolyhedrovirus	1307954	215
PHA3473	YP_758313	ie-1	Leucania separata nucleopolyhedrovirus	1307956	927
PHA3472	YP_001650957	hypothetical protein	Orgyia leucostigma NPV	490711	361
PHA3471	YP_249729	ORF-125 peptide	Chrysodeixis chalcites nucleopolyhedrovirus	320432	438
PHA3470	YP_874211	p26-a	Ectropis obliqua nucleopolyhedrovirus	59376	300
PHA3469	YP_758438	ORF141	Leucania separata nucleopolyhedrovirus	1307956	973
PHA3468	YP_001036304	F protein	Spodoptera frugiperda multiple nucleopolyhedrovirus	10455	702
PHA3467	YP_654509	hypothetical protein	Choristoneura occidentalis granulovirus	364745	94
PHA3466	YP_473284	VP1054	Hyphantria cunea nucleopolyhedrovirus	28288	399
PHA3465	NP_258333	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	313
PHA3464	NP_542648	ORF25	Helicoverpa zea single nucleopolyhedrovirus	10468	158
PHA3463	NP_203221	hypothetical protein	Epiphyas postvittana nucleopolyhedrovirus	70600	206
PHA3462	YP_002854640	FP25K	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	248
PHA3461	YP_611088	hypothetical protein	Antheraea pernyi nucleopolyhedrovirus	161494	270
PHA3460	YP_002854623	p49	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	510
PHA3459	YP_249614	exon-0	Chrysodeixis chalcites nucleopolyhedrovirus	320432	315
PHA3458	NP_059225	ORF77	Xestia c-nigrum granulovirus	51677	710
PHA3456	NP_818720	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	220
PHA3455	NP_542710	helicase	Helicoverpa zea single nucleopolyhedrovirus	10468	1253
PHA3453	NP_047728	capsid associated protein	Lymantria dispar multiple nucleopolyhedrovirus	10449	864
PHA3452	YP_002300571	LEF-3	Adoxophyes orana nucleopolyhedrovirus	542343	542
PHA3451	NP_613220	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	157
PHA3450	NP_068251	PxORF32 peptide	Plutella xylostella granulovirus	98383	270
PHA3449	YP_001036313	late expression factor 7	Spodoptera frugiperda multiple nucleopolyhedrovirus	10455	351
PHA3448	YP_002268145	P94	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	886
PHA3447	NP_872562	helicase-2	Adoxophyes orana granulovirus	170617	495
PHA3446	YP_002332758	P13	Spodoptera litura nucleopolyhedrovirus II	566270	306
PHA3445	YP_002273979	viral cathepsin-like protein	Helicoverpa armigera NPV NNg1	566972	367
PHA3441	NP_570522	hydrophobic IMV membrane protein	Camelpox virus	28873	53
PHA3439	NP_041368	regulatory protein	Human papillomavirus type 5	333923	514
PHA3438	YP_717649	P24	Clanis bilineata nucleopolyhedrovirus	1307957	265
PHA3437	YP_610983	odv-e27	Antheraea pernyi nucleopolyhedrovirus	161494	308
PHA3436	NP_068262	PxORF43 peptide	Plutella xylostella granulovirus	98383	414
PHA3435	NP_148867	ORF83 similar to AcMNPV ORF103	Cydia pomonella granulovirus	28289	439
PHA3434	YP_002274007	occlusion-derived virus envelope protein 25	Helicoverpa armigera NPV NNg1	566972	231
PHA3433	NP_258352	hypothetical protein	Spodoptera litura nucleopolyhedrovirus	46242	182
PHA3432	NP_203246	P39 CAPSID	Epiphyas postvittana nucleopolyhedrovirus	70600	372
PHA3431	YP_249634	ORF-30 peptide	Chrysodeixis chalcites nucleopolyhedrovirus	320432	283
PHA3430	NP_542713	lef-5	Helicoverpa zea single nucleopolyhedrovirus	10468	315
PHA3429	YP_717617	LEF-4	Clanis bilineata nucleopolyhedrovirus	1307957	497
PHA3428	NP_703070	gp41	Rachiplusia ou MNPV	80366	409
PHA3427	NP_613198	DNA polymerase	Mamestra configurata nucleopolyhedrovirus A	207830	998
PHA3426	NP_848452	occlusion derived envelope protein	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	379
PHA3425	YP_003422491	alkaline exonuclease	Pseudaletia unipuncta granulovirus	36355	473
PHA3424	YP_006279	ORF65	Agrotis segetum granulovirus	10464	547
PHA3423	NP_203317	CUN014 similar to AcMNPV ORF92	Culex nigripalpus nucleopolyhedrovirus	130556	370
PHA3422	YP_003517878	PIF-2	Lymantria xylina MNPV	745177	509
PHA3421	YP_001257013	lef-1	Spodoptera litura granulovirus	359919	277
PHA3420	NP_043441	hypothetical protein	Human papillomavirus type 60	40540	207
PHA3415	YP_003345500	predicted phage virion protein	Pseudomonas phage phi-2	693582	1014
PHA3413	YP_002875658	putative internal core protein	Vibrio phage VP93	641832	1284
PHA3402	YP_001293322	hypothetical protein	Goatpox virus Pellor	376852	81
PHA3399	YP_002268089	agip59	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	230
PHA3398	YP_758400	ORF103	Leucania separata nucleopolyhedrovirus	1307956	348
PHA3397	YP_002273996	very late expression factor 1	Helicoverpa armigera NPV NNg1	566972	415
PHA3396	NP_203363	CUN059 putative lef-9 transcription factor, RNApol motif, similar to AcMNPV ORF62	Culex nigripalpus nucleopolyhedrovirus	130556	590
PHA3395	NP_818679	P10	Adoxophyes honmai nucleopolyhedrovirus	224399	92
PHA3394	YP_249641	LEF-8	Chrysodeixis chalcites nucleopolyhedrovirus	320432	946
PHA3393	NP_663198	occlusion derived virus envelope protein 66	Phthorimaea operculella granulovirus	192584	796
PHA3392	YP_611099	truncated EGT	Antheraea pernyi nucleopolyhedrovirus	161494	79
PHA3391	NP_148852	ORF68 P47	Cydia pomonella granulovirus	28289	460
PHA3390	YP_006341	ORF3	Agrotis segetum granulovirus	10464	384
PHA3389	NP_258269	major occlusion protein	Spodoptera litura nucleopolyhedrovirus	46242	249
PHA3388	YP_001256952	granulin	Spodoptera litura granulovirus	359919	249
PHA3387	NP_932669	gp50 spindlin	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	371
PHA3386	NP_054167	fibrous body protein	Autographa californica nucleopolyhedrovirus	46015	94
PHA3385	NP_040913	capsid protein IX	Human adenovirus A	129875	144
PHA3384	NP_040527	single-stranded DNA-binding protein	Human adenovirus C	129951	529
PHA3383	YP_001427269	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	292
PHA3381	NP_044651	tegument protein VP22	Human herpesvirus 1	10298	301
PHA3380	YP_443895	transactivating tegument protein VP16	Papiine herpesvirus 2	340907	491
PHA3379	YP_401669	EBNA-3A	Human herpesvirus 4	10376	944
PHA3378	YP_401670	EBNA-3B	Human herpesvirus 4	10376	938
PHA3377	YP_401671	EBNA-3C	Human herpesvirus 4	10376	992
PHA3376	YP_401719	BARF1	Human herpesvirus 4	10376	221
PHA3375	NP_116436	T87	Tupaiid herpesvirus 1	10397	980
PHA3374	NP_733869	hypothetical protein	Callitrichine herpesvirus 3	106331	793
PHA3373	NP_116421	T71	Tupaiid herpesvirus 1	10397	437
PHA3372	YP_081537	DNA packaging terminase subunit 1	Human herpesvirus 5	10359	674
PHA3371	YP_003331522	myristylated tegument protein CIRC	Felid herpesvirus 1	10334	278
PHA3370	NP_073374	virion protein US2	Meleagrid herpesvirus 1	37108	282
PHA3369	YP_001096113	capsid maturation protease	Cyprinid herpesvirus 3	180230	746
PHA3368	NP_944422	DNA packaging terminase subunit 1	Psittacid herpesvirus 1	50294	795
PHA3367	YP_081516	single-stranded DNA-binding protein	Human herpesvirus 5	10359	1235
PHA3366	NP_065508	tegument protein	Alcelaphine herpesvirus 1	35252	1369
PHA3365	NP_733860	hypothetical protein	Callitrichine herpesvirus 3	106331	475
PHA3364	YP_002321263	gp79	Caviid herpesvirus 2	33706	315
PHA3362	YP_182358	single-stranded DNA-binding protein	Gallid herpesvirus 1	10386	999
PHA3361	NP_944433	tegument protein UL7	Psittacid herpesvirus 1	50294	388
PHA3360	NP_042957	DNA packaging tegument protein UL17	Human herpesvirus 6A	32603	442
PHA3359	NP_944423	DNA packaging tegument protein UL17	Psittacid herpesvirus 1	50294	815
PHA3358	NP_733882	Alkaline exonuclease	Callitrichine herpesvirus 3	106331	75
PHA3357	NP_077463	myristylated tegument protein	Cercopithecine herpesvirus 9	35246	82
PHA3356	NP_851870	myristylated tegument protein	Macacine herpesvirus 1	10325	98
PHA3354	YP_001033939	myristylated tegument protein	Gallid herpesvirus 2	10390	84
PHA3352	NP_116443	T94	Tupaiid herpesvirus 1	10397	361
PHA3351	YP_081475	membrane glycoprotein UL16	Human herpesvirus 5	10359	230
PHA3349	NP_044617	tegument protein UL16	Human herpesvirus 1	10298	373
PHA3348	YP_003662504	tegument protein UL21	Bovine herpesvirus 5	35244	603
CLSP2744766	YP_003858423	putative homing endonuclease RB16 5	Enterobacteria phage RB16	329381	177
CLSP2744758	YP_003856964	gp86	Mycobacterium phage Angelica	861044	53
CLSP2744750	YP_003856941	gp63	Mycobacterium phage Angelica	861044	71
CLSP2744747	YP_003856937	gp59	Mycobacterium phage Angelica	861044	106
CLSP2744734	YP_003848925	small T antigen	Polyomavirus HPyV7	746831	193
CLSP2744732	YP_003714742	gp35.1	Streptomyces phage phiSASD1	747763	239
CLSP2744728	YP_003495016	hypothetical protein	Ostreococcus tauri virus 1	642926	511
CLSP2744727	YP_003429320	VP2	California sea lion polyomavirus 1	715223	340
CLSP2744726	YP_003407094	MORN repeat-containing protein	Marseillevirus	694581	174
CLSP2744725	YP_003407080	divergent serine/threonine protein kinase	Marseillevirus	694581	198
CLSP2744724	YP_003407066	hypothetical protein	Marseillevirus	694581	132
CLSP2744723	YP_003407012	papain-like cysteine peptidase	Marseillevirus	694581	516
CLSP2744722	YP_003407010	hypothetical protein	Marseillevirus	694581	441
CLSP2744721	YP_003407035	Vsr/MutH/archaeal HJR family nuclease	Marseillevirus	694581	568
CLSP2744720	YP_003406991	hypothetical protein	Marseillevirus	694581	242
CLSP2744719	YP_003406932	serine/threonine protein kinase	Marseillevirus	694581	279
CLSP2744718	YP_003406924	putative nuclease	Marseillevirus	694581	331
CLSP2744717	YP_003407056	hypothetical protein	Marseillevirus	694581	255
CLSP2744716	YP_003406929	hypothetical protein	Marseillevirus	694581	218
CLSP2744715	YP_003406910	hypothetical protein	Marseillevirus	694581	305
CLSP2744714	YP_003407138	histone H2B/H2A fusion protein	Marseillevirus	694581	246
CLSP2744713	YP_003406940	serine/threonine protein kinase	Marseillevirus	694581	291
CLSP2744712	YP_003407023	hypothetical protein	Marseillevirus	694581	163
CLSP2744711	YP_003406894	F-box containing protein	Marseillevirus	694581	154
CLSP2744710	YP_003406887	hypothetical protein	Marseillevirus	694581	239
CLSP2744709	YP_003406876	hypothetical protein	Marseillevirus	694581	249
CLSP2744708	YP_003406868	small membrane protein	Marseillevirus	694581	112
CLSP2744707	YP_003406907	hypothetical protein	Marseillevirus	694581	133
CLSP2744706	YP_003406850	hypothetical protein	Marseillevirus	694581	213
CLSP2744705	YP_003406852	hypothetical protein	Marseillevirus	694581	157
CLSP2744704	YP_003407000	serine/threonine protein kinase catalytic domain-containing protein	Marseillevirus	694581	443
CLSP2744703	YP_003406892	hypothetical protein	Marseillevirus	694581	555
CLSP2744702	YP_003406817	zinc finger protein	Marseillevirus	694581	403
CLSP2744701	YP_003406816	hypothetical protein	Marseillevirus	694581	128
CLSP2744700	YP_003407177	hypothetical protein	Marseillevirus	694581	216
CLSP2744699	YP_003406793	F-box containing protein	Marseillevirus	694581	246
CLSP2744698	YP_003406899	restriction endonuclease	Marseillevirus	694581	532
CLSP2744697	YP_003407183	D5-like helicase-primase	Marseillevirus	694581	809
CLSP2744696	YP_003406786	hypothetical protein	Marseillevirus	694581	93
CLSP2744695	YP_003406790	F-box containing protein	Marseillevirus	694581	295
CLSP2744694	YP_003406780	hypothetical protein	Marseillevirus	694581	394
CLSP2744693	YP_003407164	hypothetical protein	Marseillevirus	694581	288
CLSP2744692	YP_003406763	hypothetical protein	Marseillevirus	694581	83
CLSP2744691	YP_003406761	hypothetical protein	Marseillevirus	694581	160
CLSP2744690	YP_003406757	hypothetical protein	Marseillevirus	694581	218
CLSP2744689	YP_003406758	hypothetical protein	Marseillevirus	694581	254
CLSP2744688	YP_003358392	hypothetical protein	Pseudomonas phage LUZ7	655097	75
CLSP2744687	YP_003358388	hypothetical protein	Pseudomonas phage LUZ7	655097	64
CLSP2744678	YP_003359048	hypothetical protein	Deftia phage phiW-14	665032	182
CLSP2744677	YP_003359043	hypothetical protein	Deftia phage phiW-14	665032	187
CLSP2744676	YP_003359023	hypothetical protein	Deftia phage phiW-14	665032	126
CLSP2744675	YP_003359018	hypothetical protein	Deftia phage phiW-14	665032	341
CLSP2744674	YP_003359019	hypothetical protein	Deftia phage phiW-14	665032	139
CLSP2744661	YP_003358363	hypothetical protein	Pseudomonas phage LUZ7	655097	113
CLSP2744660	YP_003358356	hypothetical protein	Pseudomonas phage LUZ7	655097	520
CLSP2744658	YP_003358467	hypothetical protein	Pseudomonas phage LIT1	655098	67
CLSP2744657	YP_003358353	hypothetical protein	Pseudomonas phage LUZ7	655097	114
CLSP2744655	YP_003358463	hypothetical protein	Pseudomonas phage LIT1	655098	126
CLSP2744653	YP_003358343	hypothetical protein	Pseudomonas phage LUZ7	655097	134
CLSP2744650	YP_003358450	hypothetical protein	Pseudomonas phage LIT1	655098	730
CLSP2744646	YP_003358328	N4 gp33-like protein	Pseudomonas phage LUZ7	655097	840
CLSP2744645	YP_003358327	hypothetical protein	Pseudomonas phage LUZ7	655097	97
CLSP2744643	YP_003358323	hypothetical protein	Pseudomonas phage LUZ7	655097	177
CLSP2744642	YP_003358318	hypothetical protein	Pseudomonas phage LUZ7	655097	280
CLSP2744640	YP_003358421	hypothetical protein	Pseudomonas phage LIT1	655098	74
CLSP2744637	YP_003358296	hypothetical protein	Pseudomonas phage LUZ7	655097	99
CLSP2744636	YP_003358404	hypothetical protein	Pseudomonas phage LIT1	655098	100
CLSP2744635	YP_003358403	hypothetical protein	Pseudomonas phage LIT1	655098	98
CLSP2744634	YP_003358285	hypothetical protein	Pseudomonas phage LUZ7	655097	93
CLSP2744633	YP_003358283	hypothetical protein	Pseudomonas phage LUZ7	655097	89
CLSP2744631	YP_003358248	ORF109	Anguillid herpesvirus 1	150286	783
CLSP2744630	YP_003358230	ORF91	Anguillid herpesvirus 1	150286	940
CLSP2744629	YP_003358218	ORF79	Anguillid herpesvirus 1	150286	280
CLSP2744628	YP_003358207	ORF68	Anguillid herpesvirus 1	150286	274
CLSP2744627	YP_003358163	ORF24	Anguillid herpesvirus 1	150286	262
